id,评论时间,用户ID,昵称,评论内容,用户归属地,点赞数量
57,2023.12.07 00:00:25,5322694153,源世界待你以温柔,今天他生日能不能善良些,来自广东,5
58,2023.12.07 00:19:34,2402163435,Kristylq,图片评论,来自安徽,4
59,2023.12.07 07:34:45,1082362882,舞魅夜,图片评论,来自浙江,2
60,2023.12.07 00:02:34,1216207561,三金的爪酱,图片评论,来自湖南,4
61,2023.12.06 22:22:51,7718634289,拉布拉蝶儿,每一声都来自我的嗓子可是如果你先录制了演唱会再放也是来自你的嗓子啊等专业鉴定结果呗,来自江苏,8643
62,2023.12.06 22:21:06,7653126211,最是绚烂,嘴倒是比心还硬,来自重庆,6792
63,2023.12.06 22:20:41,6749593433,·-_-·,总结我真唱,来自江西,2040
64,2023.12.06 22:32:33,2928820293,杏们儿,巴黎场直播等大家来鉴定上海北京自有官方来鉴定此时让我们一起说主唱大人生日快乐阿信阿信,来自四川,519
65,2023.12.06 22:40:35,7763854571,小埋恋为日记,看不懂了我没有假唱这几个字这么难打吗,来自湖北,578
66,2023.12.06 22:54:22,5337545054,我这边好安静,好溫柔好真誠的人啊,来自重庆,418
67,2023.12.06 22:53:26,3311293025,-尔尔啦,主唱生日快乐打打巴黎线上见,来自四川,216
68,2023.12.07 04:19:01,5363060414,桐桐的大金毛,这个男人叫小帅他都很少唱到,来自新疆,207
69,2023.12.06 23:02:33,1771772634,Yota鲸,中肯,来自福建,159
70,2023.12.06 23:01:18,6324378375,金多虾多虾,生日快乐,来自四川,63
71,2023.12.07 01:54:36,6656436586,我就是小晴天,五月天眼唱会真厉害吃瓜吃瓜吃瓜,来自重庆,67
72,2023.12.06 22:30:52,7533926657,再吃一颗烤土豆,生日快乐巴黎线上见抱一抱,来自黑龙江,31
73,2023.12.06 22:47:14,2436609424,remyee,等官方答案出来是错就该没有错就告融化,来自广东,25
74,2023.12.07 01:47:58,1969105555,么了结,图片评论,来自北京,44
75,2023.12.06 23:13:17,5116903641,看帅哥大赛第一名,除非真唱否则没有其他感动你的方式建议那些理解能力不好的人就不要出来丢人现眼了回去重新修造一下好的坏的都被你们说了那我只能在这最后一小时祝陈信宏生日快乐,来自福建,11
76,2023.12.07 10:38:33,5723251675,丢你一只嘿咻,图片评论,来自北京,23
77,2023.12.07 00:00:25,5322694153,源世界待你以温柔,今天他生日能不能善良些,来自广东,5
78,2023.12.07 00:19:34,2402163435,Kristylq,图片评论,来自安徽,4
79,2023.12.07 07:34:45,1082362882,舞魅夜,图片评论,来自浙江,2
80,2023.12.07 00:02:34,1216207561,三金的爪酱,图片评论,来自湖南,4
81,2023.12.06 22:22:51,7718634289,拉布拉蝶儿,每一声都来自我的嗓子可是如果你先录制了演唱会再放也是来自你的嗓子啊等专业鉴定结果呗,来自江苏,8643
82,2023.12.06 22:21:06,7653126211,最是绚烂,嘴倒是比心还硬,来自重庆,6792
83,2023.12.06 22:20:41,6749593433,·-_-·,总结我真唱,来自江西,2040
84,2023.12.06 22:32:33,2928820293,杏们儿,巴黎场直播等大家来鉴定上海北京自有官方来鉴定此时让我们一起说主唱大人生日快乐阿信阿信,来自四川,519
85,2023.12.06 22:40:35,7763854571,小埋恋为日记,看不懂了我没有假唱这几个字这么难打吗,来自湖北,578
86,2023.12.06 22:54:22,5337545054,我这边好安静,好溫柔好真誠的人啊,来自重庆,418
87,2023.12.06 22:53:26,3311293025,-尔尔啦,主唱生日快乐打打巴黎线上见,来自四川,216
88,2023.12.07 04:19:01,5363060414,桐桐的大金毛,这个男人叫小帅他都很少唱到,来自新疆,207
89,2023.12.06 23:02:33,1771772634,Yota鲸,中肯,来自福建,159
90,2023.12.06 23:01:18,6324378375,金多虾多虾,生日快乐,来自四川,63
91,2023.12.07 01:54:36,6656436586,我就是小晴天,五月天眼唱会真厉害吃瓜吃瓜吃瓜,来自重庆,67
92,2023.12.06 22:30:52,7533926657,再吃一颗烤土豆,生日快乐巴黎线上见抱一抱,来自黑龙江,31
93,2023.12.06 22:47:14,2436609424,remyee,等官方答案出来是错就该没有错就告融化,来自广东,25
94,2023.12.07 01:47:58,1969105555,么了结,图片评论,来自北京,44
95,2023.12.06 23:13:17,5116903641,看帅哥大赛第一名,除非真唱否则没有其他感动你的方式建议那些理解能力不好的人就不要出来丢人现眼了回去重新修造一下好的坏的都被你们说了那我只能在这最后一小时祝陈信宏生日快乐,来自福建,11
96,2023.12.07 10:38:33,5723251675,丢你一只嘿咻,图片评论,来自北京,23
97,2023.12.07 00:00:25,5322694153,源世界待你以温柔,今天他生日能不能善良些,来自广东,5
98,2023.12.07 00:19:34,2402163435,Kristylq,图片评论,来自安徽,4
99,2023.12.07 07:34:45,1082362882,舞魅夜,图片评论,来自浙江,2
100,2023.12.07 00:02:34,1216207561,三金的爪酱,图片评论,来自湖南,4
101,2023.12.06 22:22:51,7718634289,拉布拉蝶儿,每一声都来自我的嗓子可是如果你先录制了演唱会再放也是来自你的嗓子啊等专业鉴定结果呗,来自江苏,8643
102,2023.12.06 22:21:06,7653126211,最是绚烂,嘴倒是比心还硬,来自重庆,6792
103,2023.12.06 22:20:41,6749593433,·-_-·,总结我真唱,来自江西,2040
104,2023.12.06 22:32:33,2928820293,杏们儿,巴黎场直播等大家来鉴定上海北京自有官方来鉴定此时让我们一起说主唱大人生日快乐阿信阿信,来自四川,519
105,2023.12.06 22:40:35,7763854571,小埋恋为日记,看不懂了我没有假唱这几个字这么难打吗,来自湖北,578
106,2023.12.06 22:54:22,5337545054,我这边好安静,好溫柔好真誠的人啊,来自重庆,418
107,2023.12.06 22:53:26,3311293025,-尔尔啦,主唱生日快乐打打巴黎线上见,来自四川,216
108,2023.12.07 04:19:01,5363060414,桐桐的大金毛,这个男人叫小帅他都很少唱到,来自新疆,207
109,2023.12.06 23:02:33,1771772634,Yota鲸,中肯,来自福建,159
110,2023.12.06 23:01:18,6324378375,金多虾多虾,生日快乐,来自四川,63
111,2023.12.07 01:54:36,6656436586,我就是小晴天,五月天眼唱会真厉害吃瓜吃瓜吃瓜,来自重庆,67
112,2023.12.06 22:30:52,7533926657,再吃一颗烤土豆,生日快乐巴黎线上见抱一抱,来自黑龙江,31
113,2023.12.06 22:47:14,2436609424,remyee,等官方答案出来是错就该没有错就告融化,来自广东,25
114,2023.12.07 01:47:58,1969105555,么了结,图片评论,来自北京,44
115,2023.12.06 23:13:17,5116903641,看帅哥大赛第一名,除非真唱否则没有其他感动你的方式建议那些理解能力不好的人就不要出来丢人现眼了回去重新修造一下好的坏的都被你们说了那我只能在这最后一小时祝陈信宏生日快乐,来自福建,11
116,2023.12.07 10:38:33,5723251675,丢你一只嘿咻,图片评论,来自北京,23
117,2023.12.07 00:00:25,5322694153,源世界待你以温柔,今天他生日能不能善良些,来自广东,5
118,2023.12.07 00:19:34,2402163435,Kristylq,图片评论,来自安徽,4
119,2023.12.07 07:34:45,1082362882,舞魅夜,图片评论,来自浙江,2
120,2023.12.07 00:02:34,1216207561,三金的爪酱,图片评论,来自湖南,4
121,2023.12.06 22:22:51,7718634289,拉布拉蝶儿,每一声都来自我的嗓子可是如果你先录制了演唱会再放也是来自你的嗓子啊等专业鉴定结果呗,来自江苏,8643
122,2023.12.06 22:21:06,7653126211,最是绚烂,嘴倒是比心还硬,来自重庆,6792
123,2023.12.06 22:20:41,6749593433,·-_-·,总结我真唱,来自江西,2040
124,2023.12.06 22:32:33,2928820293,杏们儿,巴黎场直播等大家来鉴定上海北京自有官方来鉴定此时让我们一起说主唱大人生日快乐阿信阿信,来自四川,519
125,2023.12.06 22:40:35,7763854571,小埋恋为日记,看不懂了我没有假唱这几个字这么难打吗,来自湖北,578
126,2023.12.06 22:54:22,5337545054,我这边好安静,好溫柔好真誠的人啊,来自重庆,418
127,2023.12.06 22:53:26,3311293025,-尔尔啦,主唱生日快乐打打巴黎线上见,来自四川,216
128,2023.12.07 04:19:01,5363060414,桐桐的大金毛,这个男人叫小帅他都很少唱到,来自新疆,207
129,2023.12.06 23:02:33,1771772634,Yota鲸,中肯,来自福建,159
130,2023.12.06 23:01:18,6324378375,金多虾多虾,生日快乐,来自四川,63
